name,description,keywords,path
frontend,,,skills/generated-agents/frontend/SKILL.md
frontend-builder,"Drive template-based UI generation, change iterations, and auto-debug before handing off to backend work.",,skills/frontend-builder/SKILL.md
frontend-wizard,"Bootstrap the frontend/knowledge base, handle Swagger imports, and seed the first epic.",,skills/frontend-wizard/SKILL.md
git-automation,"Detect Git availability, initialize repositories, and capture commits with user-approved messages.",,skills/git-automation/SKILL.md
github-mcp-server-cli,"Operate the GitHub MCP Server binary to launch stdio services, audit OAuth scopes, and regenerate documentation from inventory metadata.",,skills/github-mcp-server-cli/SKILL.md
gpt-engineer-acp,"Run the gpt-engineer ACP server, generate MCP configs, and validate code with the ACP tooling pipeline.",,skills/gpt-engineer-acp/SKILL.md
gpt-engineer-core,"Integrations, CLI hooks, and core helpers for the GPT Engineer subproject inside the repo.",,skills/gpt-engineer-core/SKILL.md
human-input,,,skills/generated-agents/human-input/SKILL.md
human-input,"Pause automation for human actions or missing data, then resume once the user confirms.",,skills/human-input/SKILL.md
importer,"Guide project imports, gather entrypoints, and rewrite the specification for existing codebases.",,skills/importer/SKILL.md
importer,,,skills/generated-agents/importer/SKILL.md
internal-overview,"Testing helpers, mocks, and internal-only utilities used by the repository.",,skills/internal-overview/SKILL.md
issue-resolution,Standardized lifecycle for resolving tracked issues with full traceability.,fix;issue;github-issue;traceability;regression,skills/issue-resolution/SKILL.md
issue-triage,Strategic management and categorization of the issue backlog to maintain project momentum.,issue;triage;priority;labels;backlog,skills/issue-triage/SKILL.md
kode-cli,Use Kode CLI assets for policy-driven skill installation and agent-run orchestration.,,skills/kode-cli/SKILL.md
legacy-handler,Close out legacy review steps without disturbing modern flows.,,skills/legacy-handler/SKILL.md
legacy-handler,,,skills/generated-agents/legacy-handler/SKILL.md
mcpcurl,Invoke MCP servers over stdio by discovering tool schemas and issuing JSON-RPC calls from the mcpcurl helper CLI.,,skills/mcpcurl/SKILL.md
orchestrator,,,skills/generated-agents/orchestrator/SKILL.md
orchestrator,"Coordinate agent pipeline, manage project initialization, and react to each agent’s responses.",,skills/orchestrator/SKILL.md
principled-implementation,High-fidelity code implementation following strict architectural patterns.,quality-code;implementation;clean-code;logic-rigor,skills/principled-implementation/SKILL.md
problem-solver,,,skills/generated-agents/problem-solver/SKILL.md
problem-solver,Regenerate and vet alternative solutions when iterations loop without progress.,,skills/problem-solver/SKILL.md
project-configurator,"Load, edit, and persist gpt-engineer.toml using the typed Config helpers.",,skills/project-configurator/SKILL.md
relevant-files-navigator,Identify client/server files needed for the current task and keep state in sync.,,skills/relevant-files-navigator/SKILL.md
simple-agent,"Bootstrap GPT Engineer's default SimpleAgent to generate code, craft entrypoints, and run iterative improvements with disk-backed memory.",,skills/simple-agent/SKILL.md
Skill Development,"This skill should be used when the user wants to ""create a skill"", ""add a skill to plugin"", ""write a new skill"", ""improve skill description"", ""organize skill content"", or needs guidance on skill structure, progressive disclosure, or skill development best practices for Claude Code plugins.",,skills/skill-development/SKILL.md
skill-creator,"Guide for creating effective skills. This skill should be used when users want to create a new skill (or update an existing skill) that extends Copilot's capabilities with specialized knowledge, workflows, or tool integrations.",,skills/skill-creator/SKILL.md
skill-installer,"Install skills into $CODEX_HOME/skills from the TonyRHouston/.github repository or other GitHub repo paths. Use when a user asks to list installable skills, install a curated skill, or install a skill from another repo (including private repos).",,skills/skill-installer/SKILL.md
skill-judge,"Evaluate Agent Skill design quality against official specifications and best practices. Use when reviewing, auditing, or improving SKILL.md files and skill packages. Provides multi-dimensional scoring and actionable improvement suggestions.",,skills/skill-judge/SKILL.md
skill-marketplace,Install and manage skills/plugins via marketplaces and the add-skill workflow.,,skills/skill-marketplace/SKILL.md
spec-writer,,,skills/generated-agents/spec-writer/SKILL.md
spec-writer,"Collect project descriptions, refine specs, and update templates/complexity as the project evolves.",,skills/spec-writer/SKILL.md
standard-planning,Balanced planning for routine feature development and maintenance.,feature;maintenance;roadmap;enhancement,skills/standard-planning/SKILL.md
system-architect,High-level architectural analysis and structural design for modular codebases.,,skills/system-architect/SKILL.md
task-breakdown-developer,"Drive task execution by gathering context, confirming with the user, and producing actionable steps with file saves and commands.",,skills/task-breakdown-developer/SKILL.md
task-completer,,,skills/generated-agents/task-completer/SKILL.md
task-completer,"Finalize a task, commit changes when Git is active, and broadcast completion status.",,skills/task-completer/SKILL.md
task-troubleshooter,"Gather testing feedback, classify issues, and drive iteration loops until tasks are reviewed.",,skills/task-troubleshooter/SKILL.md
tech-lead,,,skills/generated-agents/tech-lead/SKILL.md
tech-lead-planner,"Manage epics, plans, and task generation for new features while keeping project state clean.",,skills/tech-lead-planner/SKILL.md
tech-writer,,,skills/generated-agents/tech-writer/SKILL.md
tech-writer,"Celebrate project milestones, generate documentation, and mark tasks as documented.",,skills/tech-writer/SKILL.md
telemetry-kusto-analyst,Answer VS Code telemetry questions by running real Kusto queries with best practices.,,skills/telemetry-kusto-analyst/SKILL.md
thinkpdf,"Convert PDFs to structured markdown, invoke OCR when needed, and expose tools via CLI, GUI, or MCP server.",,skills/thinkpdf/SKILL.md
token-usage-monitor,"Track per-step token counts, image costs, and cumulative spend for GPT Engineer runs.",,skills/token-usage-monitor/SKILL.md
tools-overview,High-level guide to repository utility scripts and tool entrypoints.,,skills/tools-overview/SKILL.md
tpilotx-cli,"Launch and control the TpilotX/Claude CLI runner, wiring config, database, UI adapters, and cleanup so the orchestrator can execute safely.",,skills/tpilotx-cli/SKILL.md
troubleshooter,,,skills/generated-agents/troubleshooter/SKILL.md
type-safety-enforcer,Eliminates technical debt by enforcing strict type definitions and avoiding 'any'.,typescript;type-safety;any;interfaces;types,skills/type-safety-enforcer/SKILL.md
wizard,,,skills/generated-agents/wizard/SKILL.md
